,title,subtitles,links
63,MAGS HEAD,Harry Maguire completely changes fans' minds with role in win over Brentford,https://www.thesun.co.uk/sport/24324487/harry-maguire-manchester-united-assist-scott-mctominay/
64,,Watch Merson lose it with Mike Dean in 'box office' VAR clash on Soccer Saturday,https://www.thesun.co.uk/sport/24322119/paul-merson-mike-dean-clash-soccer-saturday-var/
65,PUT OFF,Keane pulled plug on Savage Sunderland signing after hearing his voicemail message,https://www.thesun.co.uk/sport/24321404/transfer-news-roy-keane-robbie-savage-sunderland/
66,PALMED OFF,Inside abandoned stadium turned into park with reminder of iconic past,https://www.thesun.co.uk/sport/24281656/abandoned-stadium-estadio-insular-las-palmas-world-cup/
67,,Shock as Barnsley coach bursts into flames on return from away game,https://www.thesun.co.uk/sport/24326066/barnsley-coach-fire-exeter-city/
68,,Real Madrid fans hail Bellingham with iconic song as he scores another two goals,https://www.thesun.co.uk/sport/24325508/jude-bellingham-real-madrid-fans-sing-beatles/
69,FIGHT CLUB,Funny moment West Brom fan tries to pick fight after Birmingham score but can't,https://www.thesun.co.uk/sport/24323343/hilarious-moment-birmingham-city-fan-fight/
70,DAN THE MAN,"Sheffield Wednesday set to name former Bayern Munich coach, 34, as new manager",https://www.thesun.co.uk/sport/24326860/sheffield-wednesday-to-name-bayern-munich-coach-manager/
71,TROY DEENEY,"Man Utd's Onana will never be consistent, he's either brilliant or disastrous",https://www.thesun.co.uk/sport/24318948/andre-onana-david-raya-aaron-ramsdale/
72,KARREN BRADY,"After Saka nicked Maddison celebration, this Wembley moment is my favourite",https://www.thesun.co.uk/sport/24211537/bukayo-saka-james-maddison-dart-celebration-karren-brady/
73,DAVE KIDD,Chelsea took £200m in Brighton assets but Blues win in EFL Cup would be an upset,https://www.thesun.co.uk/sport/24133512/chelsea-brighton-carabao-cup-dave-kidd/
74,AL ABOARD,Scott sets pulses racing in elegant outfit as fans say 'your beauty never fails',https://www.thesun.co.uk/sport/24313793/alex-scott-instagram-elegant-dress/
75,NEW LISHA LIFE,Lehmann stuns in fresh-faced look as fans say 'is this a different person?',https://www.thesun.co.uk/sport/24296659/alisha-lehmann-new-look-instagram-fans-aston-villa/
76,RU BEAUTY,Dele Alli's model ex Ruby Mae goes braless in see-through dress sending fans wild,https://www.thesun.co.uk/sport/24306241/dele-alli-ruby-mae-braless-dress-fans-react/
